participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.paid_period,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,13,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,23,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,23,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,5,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,0.00,1,1,kfe5uwoo,,,,,1
1,mh9jvilu,,0,61,61,endpage,EarningsPage,2021-06-28 08:51:58.930374+00:00,1,,,7.00,1,9,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
2,kp0napa4,,0,61,61,endpage,EarningsPage,2021-06-28 08:55:35.407026+00:00,1,,,6.00,2,5,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
3,a3an30lg,,0,61,61,endpage,EarningsPage,2021-06-28 08:56:34.566103+00:00,1,,,6.00,3,4,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
4,zw36ul8j,,0,61,61,endpage,EarningsPage,2021-06-28 08:59:14.025473+00:00,1,,,27.00,4,6,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
5,qfx1xiey,,0,61,61,endpage,EarningsPage,2021-06-28 09:00:12.080168+00:00,1,,,26.00,5,16,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
6,l83ddudz,,0,61,61,endpage,EarningsPage,2021-06-28 09:09:58.263253+00:00,1,,,7.00,6,24,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
7,amoaaj9x,,0,61,61,endpage,EarningsPage,2021-06-28 09:02:43.226036+00:00,1,,,17.00,7,16,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
8,owzo4wwo,,0,61,61,endpage,EarningsPage,2021-06-28 09:05:53.069436+00:00,1,,,27.00,8,1,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
9,swdwdd1u,,0,16,61,decisions,DecisionPage,2021-06-28 09:14:03.822715+00:00,1,,,0.00,9,,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
10,v2p31awi,,0,16,61,decisions,DecisionPage,2021-06-28 09:14:03.995456+00:00,1,,,0.00,10,,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
1,wh3zb82m,,0,61,61,endpage,EarningsPage,2021-06-28 11:01:16.517549+00:00,1,,,7.00,1,2,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
2,8w3btk72,,0,61,61,endpage,EarningsPage,2021-06-28 11:02:07.475593+00:00,1,,,6.00,2,25,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
3,oumpjj89,,0,61,61,endpage,EarningsPage,2021-06-28 11:03:19.978604+00:00,1,,,17.00,3,18,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
4,x73zfae3,,0,61,61,endpage,EarningsPage,2021-06-28 11:18:35.893091+00:00,1,,,16.00,4,11,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
5,55tkeh2g,,0,61,61,endpage,EarningsPage,2021-06-28 11:05:55.786118+00:00,1,,,27.00,5,15,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
6,owuewxi2,,0,61,61,endpage,EarningsPage,2021-06-28 11:16:55.321909+00:00,1,,,27.00,6,16,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
7,sbmkh1vf,,0,61,61,endpage,EarningsPage,2021-06-28 11:08:34.265945+00:00,1,,,6.00,7,22,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
8,lm9eu726,,0,61,61,endpage,EarningsPage,2021-06-28 11:09:26.717419+00:00,1,,,16.00,8,5,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
9,yfmyonpn,,0,61,61,endpage,EarningsPage,2021-06-28 11:12:56.271793+00:00,1,,,6.00,9,16,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
10,bwjrzusv,,0,61,61,endpage,EarningsPage,2021-06-28 11:17:56.016615+00:00,1,,,17.00,10,22,0.00,1,1,eo1ctlgp,20210628_1200,,,,0
1,cpgmvfnm,,0,61,61,endpage,EarningsPage,2021-06-28 12:47:58.481214+00:00,1,,,17.00,1,4,0.00,1,1,rfkt73rj,20210628_1400,,,,0
2,o9o05hu1,,0,61,61,endpage,EarningsPage,2021-06-28 12:49:20.108600+00:00,1,,,17.00,2,22,0.00,1,1,rfkt73rj,20210628_1400,,,,0
