participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.menu_number,player.displayed_first,player.lotterychoice,player.roll,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,25,q,1,30,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,2,q,0,45,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,17,q,1,93,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,16,q,1,32,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,1,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,14,p,1,50,0.00,1,2,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,7,p,1,80,0.00,1,2,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,20,p,0,8,0.00,1,2,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,18,p,1,1,0.00,1,2,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,2,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,22,q,0,33,0.00,1,3,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,3,p,1,22,0.00,1,3,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,14,q,1,96,0.00,1,3,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,12,q,0,5,0.00,1,3,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,3,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,4,p,1,28,0.00,1,4,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,18,q,1,17,0.00,1,4,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,8,p,1,20,0.00,1,4,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,8,p,0,82,0.00,1,4,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,4,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,13,q,0,4,0.00,1,5,o4cfc4sd,20210625_1400,,,,0
